test_case_id,title,module,screen_id,topic,priority,type,preconditions,test_data,test_steps,expected_result
TC_124_008,Enter '6' into the height field,Health and Fitness,124,list,P2,Functional,,Height: 6 cm,Step 1: Enter '6' into the height field,'6 cm' remains visible in the height field
TC_124_009,Enter '-1' into the height field,Health and Fitness,124,list,P3,Negative,,Height: -1 cm,Step 1: Enter '-1' into the height field,The height field displays an error message
TC_124_011,Verify the font size and typeface of the title,Health and Fitness,124,list,P3,Accessibility,,,"Step 1: Verify the title 'Waist to Height Ratio' is centered, 24sp, bold, sans-serif","The title is centered, 24sp, bold, sans-serif"
TC_124_012,Verify the font size and typeface of the input fields,Health and Fitness,124,list,P3,Accessibility,,,"Step 1: Verify the age field is left-aligned, 16sp, regular, sans-serif, Step 2: Verify the waist field is left-aligned, 16sp, regular, sans-serif, Step 3: Verify the height field is left-aligned, 16sp, regular, sans-serif","The age field is left-aligned, 16sp, regular, sans-serif, The waist field is left-aligned, 16sp, regular, sans-serif, The height field is left-aligned, 16sp, regular, sans-serif"
TC_124_013,Verify the font size and typeface of the units selection button,Health and Fitness,124,list,P3,Accessibility,,,"Step 1: Verify the units selection button 'CM | KG' is right-aligned, 16sp, regular, sans-serif","The units selection button 'CM | KG' is right-aligned, 16sp, regular, sans-serif"
TC_124_014,Verify the font size and typeface of the result section,Health and Fitness,124,list,P3,Accessibility,,,"Step 1: Verify the waist-to-height ratio is centered, 16sp, regular, sans-serif, Step 2: Verify the ideal waist is centered, 16sp, regular, sans-serif","The waist-to-height ratio is centered, 16sp, regular, sans-serif, The ideal waist is centered, 16sp, regular, sans-serif"
TC_124_015,Verify the font size and typeface of the list row,Health and Fitness,124,list,P3,Accessibility,,,"Step 1: Verify the list row 'UnderWeight' is left-aligned, 16sp, regular, sans-serif, Step 2: Verify the list row 'Normal' is left-aligned, 16sp, regular, sans-serif, Step 3: Verify the list row 'OverWeight' is left-aligned, 16sp, regular, sans-serif, Step 4: Verify the list row 'Obese' is left-aligned, 16sp, regular, sans-serif, Step 5: Verify the list row 'Morbidly Obese' is left-aligned, 16sp, regular, sans-serif","The list row 'UnderWeight' is left-aligned, 16sp, regular, sans-serif, The list row 'Normal' is left-aligned, 16sp, regular, sans-serif, The list row 'OverWeight' is left-aligned, 16sp, regular, sans-serif, The list row 'Obese' is left-aligned, 16sp, regular, sans-serif, The list row 'Morbidly Obese' is left-aligned, 16sp, regular, sans-serif"
TC_124_016,Verify the background colors,Health and Fitness,124,list,P3,Accessibility,,,"Step 1: Verify the app bar background is light teal, Step 2: Verify the main content area background is white, Step 3: Verify the footer background is black","The app bar background is light teal, The main content area background is white, The footer background is black"
TC_124_017,Verify the touch target size of the 'Calculate' button,Health and Fitness,124,list,P3,Accessibility,,,Step 1: Verify the 'Calculate' button is at least 44x44px,The 'Calculate' button is at least 44x44px
TC_124_018,Verify the touch target size of the units selection button,Health and Fitness,124,list,P3,Accessibility,,,Step 1: Verify the units selection button 'CM | KG' is at least 44x44px,The units selection button 'CM | KG' is at least 44x44px
TC_295_001,Tap 'THIS COURSE' tab,Leaderboard,295,list,P1,Functional,,,Step 1: Tap the 'THIS COURSE' tab,The 'THIS COURSE' section becomes active and displays the top learners for the current course
TC_295_002,Tap 'TOTAL' tab,Leaderboard,295,list,P1,Functional,,,Step 1: Tap the 'TOTAL' tab,The 'TOTAL' section becomes active and displays the overall leaderboard
TC_295_003,Tap CTA button in the footer,Leaderboard,295,list,P1,Functional,,,Step 1: Tap the CTA button in the footer,The CTA button navigates to a new screen or performs the intended action
TC_295_004,Tap the floating action button in the footer,Leaderboard,295,list,P1,Functional,,,Step 1: Tap the floating action button in the footer,The floating action button navigates to a new screen or performs the intended action
TC_295_005,Verify the background color,Leaderboard,295,list,P2,Accessibility,,,Step 1: Verify the background color is a gradient of light blue at the top and white below,The background color matches the described gradient
TC_295_006,Verify the font size for titles,Leaderboard,295,list,P2,Accessibility,,,Step 1: Verify the font size for titles is approximately 24sp,The font size for titles is approximately 24sp
TC_295_007,Verify the font size for body text,Leaderboard,295,list,P2,Accessibility,,,Step 1: Verify the font size for body text is around 16sp,The font size for body text is around 16sp
TC_295_008,Verify the font size for captions,Leaderboard,295,list,P2,Accessibility,,,Step 1: Verify the font size for captions is around 12sp,The font size for captions is around 12sp
TC_295_009,Verify the font family is sans-serif,Leaderboard,295,list,P2,Accessibility,,,Step 1: Verify the font family is a sans-serif font,The font family is a sans-serif font
TC_295_010,Verify the font weight is regular,Leaderboard,295,list,P2,Accessibility,,,Step 1: Verify the font weight is regular,The font weight is regular
TC_295_011,Verify the contrast between text and background,Leaderboard,295,list,P2,Accessibility,,,Step 1: Verify the contrast between text and background is high,The contrast between text and background meets the WCAG AA standard (≥4.5:1)
TC_295_012,Verify the touch target size for the CTA button,Leaderboard,295,list,P2,Accessibility,,,Step 1: Verify the touch target size for the CTA button is at least 44x44px,The touch target size for the CTA button is at least 44x44px
TC_295_013,Verify the touch target size for the floating action button,Leaderboard,295,list,P2,Accessibility,,,Step 1: Verify the touch target size for the floating action button is at least 44x44px,The touch target size for the floating action button is at least 44x44px
